conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
4.38,3.81,0.02,20.73,1.0
4.37,2.82,0.02,25.41,0.64
4.4,0.09,0.01,15.62,0.72
4.4,0.09,0.01,15.62,0.72
4.4,0.09,0.01,15.62,0.72
4.4,0.8,0.01,19.47,0.94
4.4,1.32,0.02,19.47,1.07
4.4,0.09,0.01,15.62,0.72
4.4,0.09,0.01,15.62,0.72
4.4,2.36,0.02,13.64,1.15
4.4,1.5,0.02,19.47,1.07
4.4,2.01,0.02,19.47,1.07
4.4,0.45,0.01,19.47,0.94
4.4,0.09,0.01,15.62,0.72
4.4,1.84,0.02,19.47,1.07
4.4,3.66,0.02,21.92,1.28
4.4,2.75,0.02,21.92,1.15
4.4,4.38,0.02,39.85,1.28
4.4,3.84,0.02,21.92,1.28
4.4,4.38,0.02,39.85,1.28
4.4,4.02,0.02,39.85,1.28
4.4,4.02,0.02,39.85,1.28
4.4,5.27,0.02,39.85,1.25
4.4,6.66,0.02,50.18,1.34
4.4,6.84,0.02,50.18,1.15
4.4,6.32,0.02,50.18,1.34
4.4,6.32,0.02,50.18,1.34
4.4,5.44,0.02,39.85,1.25
4.4,5.27,0.02,39.85,1.25
4.4,6.14,0.03,50.18,1.34
4.4,5.44,0.02,39.85,1.25
4.4,3.31,0.02,21.92,1.15
4.4,3.84,0.02,21.92,1.28
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
4.37,1.9,0.01,82.01,1.63
-4.74,0.1,0.0,114.03,1.61
4.7,0.1,0.06,77.01,2.0
-3.1,0.09,0.0,31.88,1.18
-4.71,0.06,0.0,96.26,1.61
4.41,1.67,0.02,17.15,1.09
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
5.17,4.49,0.07,54.41,2.13
4.69,0.1,0.03,60.16,1.34
6.5,0.1,0.06,81.69,1.55
4.41,7.04,0.02,48.18,1.15
4.38,2.72,0.03,21.79,1.63
4.41,0.09,0.01,22.27,0.73
4.42,4.56,0.02,38.88,1.3
5.61,8.9,0.06,47.97,2.21
5.85,11.41,0.08,45.55,2.21
4.7,0.1,0.06,77.01,2.0
4.84,1.43,0.06,69.64,2.01
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
5.32,6.03,0.08,49.38,2.18
4.95,2.39,0.07,65.97,2.05
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
3.1,0.47,0.0,31.88,1.21
-3.1,0.09,0.0,31.88,1.18
4.55,0.61,0.02,60.16,1.34
-3.1,0.09,0.0,31.88,1.18
6.5,0.1,0.06,81.69,1.55
4.69,0.1,0.03,60.16,1.34
7.01,3.79,0.07,89.36,1.66
6.5,0.1,0.06,81.69,1.55
7.01,3.79,0.07,89.36,1.66
6.69,1.44,0.07,88.99,1.65
4.41,6.48,0.02,48.18,1.15
4.39,4.1,0.01,17.44,1.0
4.39,4.3,0.01,17.44,1.0
-4.71,0.06,0.0,96.26,1.61
-4.71,0.06,0.0,96.26,1.61
4.41,0.09,0.01,22.27,0.73
4.42,3.31,0.02,38.88,1.31
4.41,1.15,0.02,17.15,1.09
4.42,4.38,0.02,38.88,1.3
4.42,3.84,0.02,38.88,1.3
4.41,6.14,0.03,52.04,1.35
4.41,6.14,0.03,52.04,1.35
-4.71,0.06,0.0,96.26,1.61
-4.71,0.06,0.0,96.26,1.61
5.72,10.01,0.09,48.94,2.21
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.76,0.67,0.06,74.22,2.0
4.74,0.48,0.06,74.22,2.0
4.7,0.1,0.06,77.01,2.0
