conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
8.75,25.31,0.11,51.04,2.21
8.73,24.54,0.11,51.04,2.14
8.82,27.62,0.09,39.09,2.19
8.78,26.07,0.11,51.04,2.21
8.72,24.16,0.1,208.08,2.14
8.7,23.78,0.1,208.08,2.14
8.73,24.73,0.11,51.04,2.21
8.68,23.02,0.1,64.72,2.13
8.83,28.19,0.12,39.09,2.18
8.82,27.81,0.12,39.09,2.19
8.52,19.5,0.11,70.78,2.07
8.63,21.85,0.11,64.72,2.08
8.58,20.68,0.11,68.49,2.08
8.75,25.12,0.11,51.04,2.21
8.72,24.16,0.1,208.08,2.14
8.82,27.62,0.09,39.09,2.19
8.94,13.54,0.09,111.95,1.68
8.99,15.99,0.1,89.99,1.9
9.01,18.06,0.1,75.25,1.99
9.02,19.4,0.12,75.25,1.99
9.03,20.19,0.12,72.96,2.0
9.03,21.38,0.12,70.96,2.02
9.03,21.98,0.13,53.11,2.03
9.03,21.19,0.12,70.96,2.02
9.03,22.97,0.13,53.11,2.05
9.02,26.41,0.13,41.04,2.17
9.01,27.38,0.13,41.04,2.18
9.03,25.24,0.12,48.79,2.16
9.02,25.43,0.13,48.79,2.16
9.03,22.57,0.13,53.11,2.03
9.03,24.11,0.12,50.65,2.16
9.03,20.59,0.12,70.96,2.02
9.03,21.38,0.12,70.96,2.02
9.02,19.01,0.12,75.25,1.99
9.02,19.6,0.12,72.96,2.0
9.02,19.01,0.12,75.25,1.99
9.03,19.8,0.12,72.96,2.0
9.0,17.31,0.1,86.28,1.9
9.01,18.25,0.1,75.25,1.99
8.97,15.05,0.1,89.99,1.8
8.99,16.37,0.1,89.99,1.9
8.98,15.61,0.1,89.99,1.9
9.0,17.12,0.1,86.28,1.9
9.0,16.74,0.1,86.28,1.9
9.02,18.62,0.1,75.25,1.99
9.01,18.06,0.1,75.25,1.99
9.02,18.81,0.1,75.25,1.99
8.93,13.04,0.09,105.16,1.66
8.94,13.54,0.09,111.95,1.68
8.88,10.97,0.08,93.58,1.59
8.9,11.63,0.09,100.14,1.59
8.88,11.13,0.07,93.58,1.59
8.89,11.45,0.09,100.14,1.59
8.89,11.45,0.09,100.14,1.59
8.72,6.25,0.03,31.51,0.49
8.8,8.31,0.07,85.97,1.44
8.71,6.01,0.01,19.14,0.83
8.8,8.46,0.04,85.97,1.44
8.8,8.46,0.04,85.97,1.44
