conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
5.34,18.33,0.02,45.31,1.91
9.44,17.03,0.07,25.58,1.79
7.9,24.67,0.1,10.55,2.33
8.37,22.39,0.1,4.44,1.78
6.79,28.38,0.08,19.37,2.1
7.29,27.56,0.09,16.58,2.21
10.39,11.12,0.13,21.66,1.91
9.45,0.3,0.07,24.68,1.79
9.55,1.28,0.07,24.68,1.78
9.49,0.69,0.07,24.68,1.79
9.61,1.88,0.08,24.68,1.79
9.59,1.68,0.08,24.68,1.79
9.31,4.4,0.01,31.6,1.71
9.32,3.84,0.0,31.14,1.71
-9.31,4.57,0.0,31.6,1.71
9.31,4.4,0.01,31.6,1.71
9.31,4.4,0.01,31.6,1.71
9.33,3.19,0.02,31.14,1.73
9.33,3.19,0.02,31.14,1.73
9.32,3.67,0.01,31.14,1.72
-9.42,0.07,0.0,24.68,1.79
9.37,2.27,0.02,30.83,1.75
-9.42,0.07,0.0,24.68,1.79
9.43,0.1,0.07,24.68,1.79
9.47,0.49,0.07,24.68,1.79
9.43,0.1,0.07,24.68,1.79
9.43,0.1,0.07,24.68,1.79
9.43,0.1,0.07,24.68,1.79
9.43,0.1,0.07,24.68,1.79
9.43,0.1,0.07,24.68,1.79
9.33,3.35,0.01,31.14,1.73
9.4,1.51,0.02,27.45,1.77
9.36,2.72,0.01,31.14,1.74
9.41,1.03,0.01,24.68,1.77
9.37,2.27,0.02,30.83,1.75
-9.42,0.07,0.0,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
9.43,0.1,0.07,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
9.43,0.1,0.07,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
9.43,0.1,0.07,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
10.18,8.36,0.09,22.27,1.9
10.04,6.56,0.1,21.33,1.86
10.05,6.75,0.1,21.33,1.88
9.78,3.66,0.08,21.28,1.81
9.64,2.27,0.08,24.68,1.79
9.87,4.64,0.09,18.78,1.81
9.92,5.22,0.09,19.29,1.83
9.81,4.05,0.08,18.78,1.81
9.99,5.99,0.09,19.29,1.84
9.59,1.68,0.08,24.68,1.79
10.0,6.18,0.1,19.29,1.86
9.8,3.85,0.08,18.78,1.81
9.89,4.84,0.09,18.78,1.83
9.68,2.67,0.08,21.28,1.8
9.0,19.32,0.07,15.66,1.77
9.14,18.56,0.06,15.66,1.79
9.4,17.22,0.07,25.58,1.79
9.25,17.99,0.06,15.66,1.79
9.44,17.03,0.07,25.58,1.79
14.11,15.89,0.1,24.95,1.81
14.07,16.6,0.1,25.58,1.81
14.27,13.29,0.16,23.05,2.12
14.24,13.82,0.11,23.05,1.88
14.21,14.33,0.11,23.05,1.88
14.45,9.25,0.2,16.91,2.24
14.5,7.7,0.21,13.87,2.27
14.47,8.67,0.2,13.87,2.32
14.37,11.15,0.17,16.91,2.15
14.33,12.04,0.17,63.72,2.11
14.4,10.61,0.19,16.91,2.15
14.6,0.99,0.14,13.67,2.17
14.58,3.42,0.15,13.67,1.98
14.57,4.19,0.18,2.65,1.9
14.59,3.23,0.15,13.67,1.98
14.51,7.31,0.21,13.87,2.27
14.53,6.52,0.2,11.65,2.34
