age,lon,lat,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
2.0,-72.984,-45.059,283.0,-72.628,-44.953,0.033,723.0,-75.27,-45.37,8.72,5.38,1.52,173.0,0.14,74.32,911.0,201.0,6.25,6.25,8.68,0.82,-1.51,0.19,-7.25,8.02,7.17,1.01,7.48,0.04,38.72,79.31,0.67
2.0,-72.97,-45.9,283.0,-72.615,-45.794,0.031,730.0,-75.19,-45.73,8.71,-13.26,1.51,154.28,0.16,92.89,911.0,201.0,5.88,5.88,8.47,-2.0,-1.36,0.66,-7.24,-10.62,7.12,-1.33,1.95,0.02,13.64,65.47,0.8
2.0,-72.88,-44.08,283.0,-72.524,-43.974,0.034,729.0,-75.2,-43.56,8.79,-23.29,1.56,144.94,0.2,103.02,911.0,201.0,8.11,8.11,8.07,-3.47,-1.28,0.9,-7.27,-20.72,6.8,-2.57,13.3,0.07,85.57,61.63,1.14
2.0,-72.6,-41.01,283.0,-72.244,-40.904,0.033,756.0,-74.7,-40.72,8.88,-18.37,1.62,150.89,0.18,97.96,911.0,201.0,10.97,10.97,8.43,-2.8,-1.42,0.79,-7.29,-15.94,7.01,-2.0,17.9,0.07,92.4,75.05,1.55
2.0,-72.53,-44.3,283.0,-72.175,-44.194,0.039,722.0,-75.28,-43.83,8.78,-22.13,1.56,145.98,0.12,101.9,911.0,201.0,7.83,7.83,8.13,-3.31,-1.29,0.87,-7.27,-19.54,6.85,-2.43,13.3,0.04,85.57,61.63,1.14
2.0,-72.225,-41.3,283.0,-71.869,-41.194,0.038,755.0,-74.74,-40.9,8.87,-18.38,1.62,150.81,0.18,97.99,911.0,201.0,10.79,10.79,8.42,-2.8,-1.41,0.79,-7.29,-15.94,7.01,-2.0,17.9,0.07,92.4,75.05,1.55
2.0,-72.12,-40.59,283.0,-71.764,-40.484,0.038,761.0,-74.65,-40.41,8.89,-17.49,1.63,151.88,0.15,97.07,911.0,201.0,11.29,11.29,8.48,-2.67,-1.44,0.77,-7.29,-15.07,7.04,-1.9,21.66,0.07,95.91,75.05,1.6
2.0,-72.0,-40.35,283.0,-71.64399999999998,-40.244,0.04,764.0,-74.64,-40.24,8.89,-8.81,1.63,160.61,0.18,88.38,911.0,201.0,11.45,11.45,8.79,-1.36,-1.54,0.54,-7.29,-6.4,7.25,-0.81,21.66,0.08,95.91,75.05,1.6
2.0,-72.0,-40.75,283.0,-71.64399999999998,-40.644,0.04,761.0,-74.65,-40.41,8.89,-17.49,1.63,151.88,0.15,97.07,911.0,201.0,11.29,11.29,8.48,-2.67,-1.44,0.77,-7.29,-15.07,7.04,-1.9,21.66,0.07,95.91,75.05,1.6
2.0,-71.95,-39.42,283.0,-71.594,-39.314,0.04,771.0,-74.47,-38.82,8.93,-22.7,1.66,147.16,0.14,102.23,911.0,201.0,12.88,12.88,8.24,-3.44,-1.4,0.9,-7.3,-20.34,6.84,-2.54,24.23,0.06,99.84,80.99,1.65
2.0,-71.93,-39.42,283.0,-71.574,-39.314,0.04,771.0,-74.47,-38.82,8.93,-22.7,1.66,147.16,0.14,102.23,911.0,201.0,12.88,12.88,8.24,-3.44,-1.4,0.9,-7.3,-20.34,6.84,-2.54,24.23,0.06,99.84,80.99,1.65
2.0,-71.8,-37.38,2901.0,-71.444,-37.274,0.036000000000000004,787.0,-73.95,-36.71,8.97,-26.19,1.7,144.43,0.19,105.5,911.0,201.0,15.05,15.05,8.05,-3.96,-1.39,0.99,-7.29,-23.95,6.67,-2.96,32.37,0.1,83.9,94.33,1.82
2.0,-71.6,-38.4,283.0,-71.244,-38.294,0.042,776.0,-74.3,-38.19,8.94,-12.86,1.67,157.24,0.16,92.32,911.0,201.0,13.54,13.54,8.72,-1.99,-1.54,0.65,-7.3,-10.54,7.17,-1.33,31.22,0.09,106.28,91.29,1.68
